Kelurahan;Cebongan;Kumpulrejo;Ledok;Noborejo;Randuacir;Tegalrejo;Dukuh;Kalicacing;Kecandran;Mangunsari;Blotongan;Bugel;Kauman Kidul;Pulutan;Salatiga;Sidorejo Lor;Gendongan;Kalibening;Kutowinangun;Sidorejo Kidul;Tingkir Lor;Tingkir Tengah;Baran;Bejalen;Kranggan;Kupang;Lodoyong;Ngampin;Panjang;Pasekan;Pojoksari;Tambakboyo;Bancak;Bantal;Boto;Jlumpang;Lembu;Plumutan;Pucung;Rejosari;Wonokerto;Bandungan;Banyukuning;Candi;Duren;Jetis;Jimbaran;Kenteng;Mlilir;Pakopen;Sidomukti;Banyubiru;Gedong;Kebondowo;Kebumen;Kemambang;Ngrapah;Rowoboni;Sepakung;Tegaron;Wirogomo;Asinan;Bawen;Doplang;Harjosari;Kandangan;Lemahireng;Polosiri;Poncoruso;Samban;Bergas Kidul;Bergas Lor;Diwak;Gebugan;Gondoriyo;Hutan;Jatijajar;Karangjati;Munding;Ngempon;Pagersari;Randugunting;Wringin Putih;Wujil;Banding;Bringin;Gogodalem;Kalijambe;Kalikurmo;Lebak;Nyemoh;Pakis;Popongan;Rembes;Sambirejo;Sendang;Tanjung;Tempuran;Truko;Wiru;Batur;Getasan;Jetak;Kopeng;Manggihan;Ngrawan;Nogosaren;Polobogo;Samirono;Sumogawe;Tajuk;Tolokan;Wates;Bedono;Brongkol;Gemawang;Genting;Gondoriyo;Jambu;Kebondalem;Kelurahan;Kuwarasan;Rejosari;Jetis;Kaliwungu;Kener;Kradenan;Mukiran;Pager;Papringan;Payungan;Rogomulyo;Siwal;Udanwuh;Bejaten;Bendungan;Giling;Glawan;Jembrak;Kadirejo;Karanggondang;Kauman Lor;Pabelan;Padaan;Segiri;Semowo;Sukoharjo;Sumberejo;Terban;Tukang;Ujung-ujung;Candirejo;Derekan;Jatirunggo;Klepu;Penawangan;Pringapus;Pringsari;Wonorejo;Wonoyoso;Bumen;Candigaron;Duren;Jubelan;Kebonagung;Kemawi;Kemitir;Keseneng;Lanjan;Losari;Mendongan;Ngadikerso;Piyanggang;Pledokan;Sumowono;Trayu;Beji Lor;Bonomerto;Cukilan;Dadapayam;Dersansari;Gunung Tumpeng;Jatirejo;Kebowan;Kedungringin;Ketanggi;Krandon Lor;Medayu;Plumbon;Purworejo;Reksosari;Sukorejo;Suruh;Badran;Bakalrejo;Gentan;Kemetul;Kenteng;Ketapang;Koripan;Muncar;Ngasinan;Sidoharjo;Susukan;Tawang;Timpik;Barukan;Bener;Butuh;Cukil;Duren;Karangduren;Klero;Nyamat;Patemon;Regunung;Sruwen;Sugihan;Tegalrejo;Tegalwaton;Tengaran;Candirejo;Delik;Gedangan;Jombor;Kalibeji;Karanganyar;Karangtengah;Kesongo;Lopait;Ngajaran;Rowosari;Sraten;Tlogo;Tlompakan;Tuntang;Watuagung;Bandarjo;Branjang;Candirejo;Genuk;Gogik;Kalisidi;Keji;Langensari;Lerep;Nyatnyono;Ungaran;Beji;Gedanganak;Kalikayen;Kalirejo;Kalongan;Kawengen;Leyangan;Mluweh;Sidomulyo;Susukan;Waduk Rawapening
Cebongan;1 min;8 mins;3 mins;8 mins;8 mins;8 mins;13 mins;9 mins;13 mins;11 mins;18 mins;19 mins;19 mins;18 mins;13 mins;15 mins;7 mins;7 mins;11 mins;11 mins;7 mins;5 mins;40 mins;36 mins;36 mins;31 mins;33 mins;36 mins;36 mins;45 mins;35 mins;33 mins;51 mins;47 mins;48 mins;45 mins;46 mins;54 mins;34 mins;37 mins;47 mins;43 mins;55 mins;53 mins;50 mins;48 mins;50 mins;42 mins;53 mins;43 mins;40 mins;34 mins;26 mins;30 mins;22 mins;40 mins;36 mins;32 mins;35 mins;27 mins;44 mins;28 mins;25 mins;34 mins;31 mins;38 mins;38 mins;41 mins;38 mins;36 mins;37 mins;38 mins;38 mins;51 mins;46 mins;1 hour 27 mins;36 mins;39 mins;46 mins;39 mins;42 mins;33 mins;44 mins;40 mins;36 mins;30 mins;40 mins;38 mins;54 mins;38 mins;46 mins;33 mins;29 mins;38 mins;45 mins;42 mins;39 mins;49 mins;33 mins;43 mins;27 mins;19 mins;12 mins;31 mins;19 mins;24 mins;33 mins;18 mins;15 mins;14 mins;30 mins;27 mins;22 mins;50 mins;42 mins;55 mins;54 mins;39 mins;41 mins;45 mins;45 mins;43 mins;52 mins;28 mins;31 mins;36 mins;35 mins;33 mins;34 mins;37 mins;29 mins;31 mins;34 mins;37 mins;25 mins;23 mins;28 mins;23 mins;19 mins;29 mins;18 mins;23 mins;21 mins;26 mins;21 mins;27 mins;14 mins;20 mins;26 mins;27 mins;13 mins;58 mins;23 mins;43 mins;45 mins;1 hour 9 mins;40 mins;45 mins;55 mins;52 mins;1 hour 4 mins;1 hour 8 mins;1 hour 17 mins;58 mins;1 hour 6 mins;1 hour 4 mins;1 hour 6 mins;1 hour 10 mins;1 hour 2 mins;1 hour 1 min;1 hour 4 mins;1 hour 2 mins;1 hour 6 mins;1 hour 12 mins;58 mins;1 hour 5 mins;19 mins;27 mins;29 mins;33 mins;20 mins;25 mins;18 mins;14 mins;33 mins;23 mins;21 mins;21 mins;13 mins;21 mins;20 mins;27 mins;16 mins;24 mins;36 mins;32 mins;21 mins;19 mins;30 mins;22 mins;26 mins;26 mins;29 mins;25 mins;38 mins;31 mins;12 mins;6 mins;12 mins;14 mins;23 mins;10 mins;11 mins;13 mins;14 mins;17 mins;16 mins;21 mins;15 mins;10 mins;13 mins;24 mins;32 mins;17 mins;19 mins;20 mins;28 mins;24 mins;22 mins;24 mins;37 mins;27 mins;20 mins;28 mins;31 mins;24 mins;26 mins;40 mins;57 mins;41 mins;36 mins;43 mins;51 mins;46 mins;41 mins;46 mins;42 mins;37 mins;39 mins;38 mins;57 mins;33 mins;39 mins;53 mins;41 mins;50 mins;33 mins;42 mins;37 mins
Kumpulrejo;11 mins;1 min;12 mins;11 mins;8 mins;11 mins;5 mins;11 mins;5 mins;9 mins;15 mins;17 mins;20 mins;11 mins;15 mins;12 mins;14 mins;15 mins;17 mins;18 mins;15 mins;13 mins;37 mins;32 mins;32 mins;27 mins;29 mins;32 mins;32 mins;42 mins;29 mins;26 mins;52 mins;54 mins;49 mins;49 mins;50 mins;58 mins;35 mins;41 mins;47 mins;40 mins;52 mins;49 mins;46 mins;44 mins;47 mins;38 mins;49 mins;40 mins;37 mins;26 mins;18 mins;22 mins;15 mins;32 mins;28 mins;24 mins;28 mins;19 mins;36 mins;20 mins;22 mins;31 mins;27 mins;34 mins;35 mins;39 mins;34 mins;32 mins;34 mins;35 mins;34 mins;47 mins;49 mins;1 hour 23 mins;33 mins;35 mins;43 mins;36 mins;39 mins;29 mins;40 mins;37 mins;37 mins;31 mins;41 mins;39 mins;55 mins;39 mins;47 mins;34 mins;30 mins;38 mins;46 mins;43 mins;40 mins;50 mins;34 mins;44 mins;19 mins;11 mins;12 mins;24 mins;12 mins;17 mins;25 mins;10 mins;11 mins;7 mins;23 mins;19 mins;15 mins;42 mins;34 mins;47 mins;49 mins;35 mins;33 mins;41 mins;37 mins;38 mins;47 mins;34 mins;37 mins;42 mins;41 mins;38 mins;40 mins;43 mins;35 mins;37 mins;39 mins;43 mins;26 mins;29 mins;29 mins;23 mins;24 mins;29 mins;24 mins;24 mins;21 mins;27 mins;27 mins;29 mins;20 mins;27 mins;33 mins;33 mins;21 mins;59 mins;28 mins;43 mins;41 mins;1 hour 8 mins;37 mins;42 mins;55 mins;49 mins;1 hour 0 mins;1 hour 4 mins;1 hour 13 mins;55 mins;1 hour 1 min;1 hour 0 mins;1 hour 3 mins;1 hour 6 mins;58 mins;58 mins;1 hour 1 min;58 mins;1 hour 3 mins;1 hour 8 mins;54 mins;1 hour 2 mins;24 mins;34 mins;36 mins;40 mins;27 mins;32 mins;25 mins;20 mins;40 mins;30 mins;28 mins;28 mins;21 mins;29 mins;27 mins;34 mins;24 mins;30 mins;42 mins;37 mins;26 mins;25 mins;36 mins;29 mins;33 mins;33 mins;35 mins;31 mins;44 mins;37 mins;19 mins;12 mins;18 mins;20 mins;29 mins;15 mins;17 mins;20 mins;14 mins;22 mins;22 mins;26 mins;21 mins;17 mins;19 mins;16 mins;24 mins;10 mins;11 mins;12 mins;28 mins;25 mins;15 mins;16 mins;39 mins;19 mins;13 mins;24 mins;32 mins;17 mins;23 mins;44 mins;1 hour 1 min;42 mins;41 mins;44 mins;55 mins;50 mins;38 mins;50 mins;46 mins;42 mins;39 mins;40 mins;1 hour 1 min;37 mins;43 mins;57 mins;46 mins;54 mins;37 mins;47 mins;34 mins
Ledok;5 mins;8 mins;1 min;9 mins;9 mins;5 mins;10 mins;5 mins;13 mins;7 mins;14 mins;15 mins;16 mins;15 mins;10 mins;11 mins;3 mins;6 mins;8 mins;7 mins;6 mins;6 mins;40 mins;36 mins;36 mins;31 mins;33 mins;37 mins;36 mins;46 mins;35 mins;30 mins;48 mins;44 mins;45 mins;42 mins;42 mins;50 mins;30 mins;34 mins;43 mins;44 mins;56 mins;53 mins;50 mins;48 mins;50 mins;42 mins;53 mins;43 mins;41 mins;33 mins;26 mins;30 mins;22 mins;40 mins;36 mins;31 mins;35 mins;27 mins;44 mins;24 mins;26 mins;34 mins;31 mins;38 mins;38 mins;37 mins;38 mins;36 mins;37 mins;39 mins;38 mins;51 mins;47 mins;1 hour 27 mins;37 mins;39 mins;47 mins;40 mins;43 mins;33 mins;44 mins;41 mins;32 mins;27 mins;37 mins;35 mins;50 mins;34 mins;43 mins;30 mins;25 mins;34 mins;41 mins;38 mins;36 mins;45 mins;29 mins;40 mins;27 mins;19 mins;13 mins;31 mins;19 mins;24 mins;33 mins;18 mins;16 mins;14 mins;30 mins;27 mins;22 mins;50 mins;42 mins;55 mins;54 mins;40 mins;41 mins;46 mins;45 mins;43 mins;52 mins;29 mins;32 mins;37 mins;36 mins;34 mins;35 mins;38 mins;30 mins;32 mins;35 mins;38 mins;22 mins;20 mins;25 mins;19 mins;16 mins;25 mins;15 mins;20 mins;17 mins;22 mins;18 mins;24 mins;11 mins;17 mins;23 mins;24 mins;10 mins;54 mins;24 mins;40 mins;45 mins;1 hour 9 mins;41 mins;46 mins;56 mins;52 mins;1 hour 4 mins;1 hour 8 mins;1 hour 17 mins;58 mins;1 hour 6 mins;1 hour 4 mins;1 hour 6 mins;1 hour 10 mins;1 hour 2 mins;1 hour 2 mins;1 hour 4 mins;1 hour 3 mins;1 hour 7 mins;1 hour 12 mins;58 mins;1 hour 6 mins;19 mins;28 mins;26 mins;30 mins;21 mins;26 mins;18 mins;15 mins;34 mins;24 mins;17 mins;22 mins;14 mins;22 mins;20 mins;28 mins;17 mins;26 mins;38 mins;33 mins;21 mins;21 mins;31 mins;23 mins;27 mins;26 mins;30 mins;26 mins;40 mins;32 mins;12 mins;7 mins;13 mins;15 mins;24 mins;11 mins;12 mins;9 mins;15 mins;18 mins;18 mins;22 mins;17 mins;11 mins;14 mins;21 mins;28 mins;18 mins;17 mins;20 mins;25 mins;21 mins;19 mins;20 mins;34 mins;26 mins;19 mins;25 mins;27 mins;21 mins;22 mins;41 mins;57 mins;41 mins;37 mins;44 mins;51 mins;46 mins;42 mins;46 mins;43 mins;38 mins;40 mins;39 mins;58 mins;34 mins;39 mins;53 mins;41 mins;51 mins;33 mins;43 mins;38 mins
Noborejo;7 mins;8 mins;8 mins;1 min;9 mins;12 mins;14 mins;13 mins;13 mins;15 mins;22 mins;23 mins;24 mins;20 mins;18 mins;19 mins;11 mins;11 mins;16 mins;15 mins;11 mins;8 mins;43 mins;39 mins;39 mins;35 mins;38 mins;40 mins;39 mins;48 mins;37 mins;34 mins;56 mins;51 mins;53 mins;49 mins;50 mins;57 mins;38 mins;41 mins;51 mins;46 mins;58 mins;56 mins;53 mins;51 mins;53 mins;45 mins;56 mins;46 mins;43 mins;34 mins;26 mins;30 mins;23 mins;41 mins;36 mins;32 mins;36 mins;27 mins;44 mins;29 mins;28 mins;37 mins;34 mins;41 mins;41 mins;46 mins;41 mins;39 mins;40 mins;41 mins;41 mins;54 mins;49 mins;1 hour 30 mins;39 mins;42 mins;49 mins;42 mins;45 mins;36 mins;47 mins;43 mins;40 mins;35 mins;45 mins;43 mins;59 mins;43 mins;51 mins;38 mins;33 mins;42 mins;50 mins;47 mins;44 mins;53 mins;38 mins;48 mins;28 mins;20 mins;8 mins;32 mins;20 mins;25 mins;33 mins;19 mins;14 mins;15 mins;29 mins;27 mins;23 mins;50 mins;42 mins;55 mins;57 mins;43 mins;41 mins;49 mins;45 mins;47 mins;55 mins;27 mins;30 mins;35 mins;34 mins;32 mins;33 mins;36 mins;28 mins;30 mins;33 mins;36 mins;30 mins;28 mins;33 mins;27 mins;24 mins;33 mins;23 mins;28 mins;25 mins;30 mins;26 mins;32 mins;19 mins;24 mins;30 mins;32 mins;17 mins;1 hour 6 mins;26 mins;48 mins;48 mins;1 hour 12 mins;43 mins;48 mins;58 mins;55 mins;1 hour 7 mins;1 hour 11 mins;1 hour 19 mins;1 hour 1 min;1 hour 10 mins;1 hour 7 mins;1 hour 9 mins;1 hour 12 mins;1 hour 5 mins;1 hour 4 mins;1 hour 7 mins;1 hour 6 mins;1 hour 9 mins;1 hour 15 mins;1 hour 1 min;1 hour 8 mins;19 mins;30 mins;33 mins;37 mins;23 mins;28 mins;21 mins;15 mins;36 mins;26 mins;25 mins;24 mins;16 mins;24 mins;23 mins;30 mins;19 mins;24 mins;36 mins;31 mins;21 mins;19 mins;29 mins;23 mins;29 mins;29 mins;28 mins;24 mins;38 mins;30 mins;15 mins;8 mins;11 mins;13 mins;22 mins;9 mins;10 mins;15 mins;11 mins;16 mins;16 mins;20 mins;15 mins;12 mins;12 mins;24 mins;33 mins;18 mins;19 mins;20 mins;33 mins;29 mins;23 mins;25 mins;42 mins;27 mins;21 mins;32 mins;35 mins;25 mins;30 mins;43 mins;1 hour 0 mins;44 mins;39 mins;46 mins;54 mins;49 mins;44 mins;48 mins;45 mins;40 mins;42 mins;41 mins;1 hour 0 mins;36 mins;41 mins;56 mins;43 mins;53 mins;35 mins;45 mins;40 mins
Randuacir;8 mins;5 mins;9 mins;9 mins;1 min;9 mins;10 mins;13 mins;10 mins;14 mins;20 mins;22 mins;24 mins;16 mins;18 mins;17 mins;11 mins;12 mins;16 mins;16 mins;12 mins;10 mins;41 mins;37 mins;37 mins;32 mins;34 mins;37 mins;37 mins;47 mins;34 mins;31 mins;56 mins;52 mins;53 mins;50 mins;51 mins;58 mins;38 mins;42 mins;51 mins;45 mins;57 mins;54 mins;51 mins;49 mins;51 mins;43 mins;54 mins;44 mins;42 mins;31 mins;23 mins;27 mins;19 mins;37 mins;33 mins;29 mins;32 mins;24 mins;41 mins;25 mins;27 mins;35 mins;32 mins;39 mins;39 mins;44 mins;39 mins;37 mins;38 mins;40 mins;39 mins;52 mins;51 mins;1 hour 28 mins;38 mins;40 mins;48 mins;41 mins;44 mins;34 mins;45 mins;42 mins;40 mins;35 mins;45 mins;43 mins;59 mins;43 mins;51 mins;38 mins;33 mins;42 mins;50 mins;47 mins;44 mins;53 mins;38 mins;48 mins;24 mins;16 mins;10 mins;28 mins;16 mins;21 mins;30 mins;15 mins;12 mins;11 mins;27 mins;24 mins;19 mins;47 mins;39 mins;52 mins;54 mins;40 mins;38 mins;46 mins;42 mins;43 mins;52 mins;32 mins;35 mins;39 mins;38 mins;36 mins;37 mins;40 mins;32 mins;34 mins;37 mins;40 mins;30 mins;28 mins;33 mins;27 mins;24 mins;33 mins;23 mins;28 mins;25 mins;30 mins;26 mins;32 mins;19 mins;25 mins;31 mins;32 mins;18 mins;1 hour 4 mins;28 mins;48 mins;46 mins;1 hour 13 mins;42 mins;47 mins;1 hour 0 mins;53 mins;1 hour 5 mins;1 hour 9 mins;1 hour 18 mins;59 mins;1 hour 6 mins;1 hour 5 mins;1 hour 7 mins;1 hour 11 mins;1 hour 3 mins;1 hour 3 mins;1 hour 5 mins;1 hour 3 mins;1 hour 8 mins;1 hour 13 mins;59 mins;1 hour 7 mins;22 mins;32 mins;34 mins;38 mins;25 mins;30 mins;23 mins;18 mins;38 mins;28 mins;26 mins;26 mins;18 mins;26 mins;24 mins;32 mins;21 mins;28 mins;40 mins;35 mins;24 mins;23 mins;33 mins;27 mins;31 mins;30 mins;32 mins;28 mins;42 mins;34 mins;16 mins;9 mins;15 mins;17 mins;26 mins;13 mins;14 mins;17 mins;11 mins;20 mins;20 mins;24 mins;19 mins;15 mins;16 mins;21 mins;29 mins;15 mins;16 mins;17 mins;32 mins;29 mins;20 mins;21 mins;42 mins;24 mins;17 mins;29 mins;35 mins;22 mins;28 mins;45 mins;1 hour 1 min;47 mins;41 mins;49 mins;55 mins;50 mins;43 mins;50 mins;47 mins;42 mins;44 mins;43 mins;1 hour 2 mins;38 mins;43 mins;57 mins;45 mins;55 mins;37 mins;47 mins;39 mins
Tegalrejo;8 mins;7 mins;5 mins;12 mins;9 mins;1 min;10 mins;5 mins;12 mins;7 mins;14 mins;15 mins;17 mins;15 mins;11 mins;11 mins;6 mins;9 mins;11 mins;11 mins;11 mins;11 mins;40 mins;36 mins;36 mins;31 mins;33 mins;37 mins;36 mins;46 mins;35 mins;30 mins;49 mins;47 mins;46 mins;46 mins;46 mins;53 mins;32 mins;37 mins;44 mins;43 mins;55 mins;53 mins;50 mins;48 mins;50 mins;42 mins;53 mins;43 mins;40 mins;33 mins;25 mins;29 mins;22 mins;40 mins;35 mins;30 mins;35 mins;26 mins;43 mins;24 mins;26 mins;34 mins;31 mins;38 mins;38 mins;39 mins;38 mins;36 mins;37 mins;38 mins;38 mins;51 mins;52 mins;1 hour 27 mins;37 mins;39 mins;46 mins;39 mins;43 mins;33 mins;44 mins;40 mins;34 mins;28 mins;38 mins;36 mins;52 mins;36 mins;44 mins;31 mins;26 mins;35 mins;43 mins;40 mins;37 mins;46 mins;31 mins;41 mins;26 mins;18 mins;15 mins;31 mins;19 mins;24 mins;32 mins;17 mins;15 mins;14 mins;30 mins;26 mins;22 mins;49 mins;41 mins;54 mins;54 mins;40 mins;40 mins;45 mins;44 mins;43 mins;52 mins;34 mins;37 mins;42 mins;41 mins;38 mins;40 mins;43 mins;35 mins;37 mins;39 mins;43 mins;23 mins;23 mins;26 mins;20 mins;19 mins;26 mins;18 mins;21 mins;18 mins;23 mins;21 mins;26 mins;14 mins;20 mins;26 mins;27 mins;13 mins;55 mins;29 mins;41 mins;45 mins;1 hour 12 mins;41 mins;46 mins;59 mins;52 mins;1 hour 4 mins;1 hour 8 mins;1 hour 17 mins;58 mins;1 hour 6 mins;1 hour 4 mins;1 hour 6 mins;1 hour 10 mins;1 hour 2 mins;1 hour 1 min;1 hour 4 mins;1 hour 2 mins;1 hour 6 mins;1 hour 12 mins;58 mins;1 hour 6 mins;24 mins;33 mins;29 mins;33 mins;26 mins;31 mins;24 mins;20 mins;39 mins;29 mins;21 mins;27 mins;19 mins;27 mins;26 mins;33 mins;22 mins;30 mins;42 mins;37 mins;27 mins;25 mins;36 mins;28 mins;32 mins;31 mins;35 mins;31 mins;44 mins;37 mins;16 mins;12 mins;18 mins;20 mins;29 mins;15 mins;17 mins;12 mins;19 mins;23 mins;22 mins;27 mins;21 mins;16 mins;19 mins;21 mins;28 mins;17 mins;17 mins;19 mins;26 mins;22 mins;19 mins;20 mins;35 mins;25 mins;19 mins;25 mins;28 mins;21 mins;22 mins;46 mins;1 hour 2 mins;46 mins;42 mins;48 mins;56 mins;51 mins;41 mins;51 mins;48 mins;43 mins;43 mins;44 mins;1 hour 3 mins;39 mins;44 mins;58 mins;46 mins;56 mins;38 mins;48 mins;37 mins
Dukuh;13 mins;8 mins;11 mins;14 mins;11 mins;10 mins;1 min;9 mins;5 mins;6 mins;14 mins;17 mins;19 mins;11 mins;14 mins;11 mins;12 mins;15 mins;16 mins;16 mins;17 mins;15 mins;36 mins;32 mins;32 mins;27 mins;29 mins;32 mins;32 mins;41 mins;28 mins;26 mins;51 mins;53 mins;49 mins;48 mins;49 mins;57 mins;34 mins;41 mins;47 mins;39 mins;51 mins;49 mins;46 mins;44 mins;46 mins;38 mins;49 mins;39 mins;36 mins;25 mins;18 mins;22 mins;14 mins;32 mins;28 mins;24 mins;27 mins;19 mins;36 mins;20 mins;21 mins;30 mins;27 mins;34 mins;34 mins;39 mins;34 mins;32 mins;33 mins;34 mins;34 mins;47 mins;49 mins;1 hour 23 mins;32 mins;35 mins;42 mins;35 mins;38 mins;29 mins;40 mins;36 mins;36 mins;30 mins;41 mins;39 mins;54 mins;38 mins;46 mins;34 mins;29 mins;38 mins;45 mins;42 mins;39 mins;49 mins;34 mins;44 mins;24 mins;16 mins;15 mins;28 mins;16 mins;21 mins;30 mins;10 mins;15 mins;11 mins;28 mins;24 mins;19 mins;42 mins;34 mins;47 mins;49 mins;34 mins;33 mins;40 mins;37 mins;38 mins;47 mins;36 mins;39 mins;44 mins;43 mins;41 mins;42 mins;45 mins;37 mins;39 mins;42 mins;45 mins;25 mins;27 mins;28 mins;23 mins;23 mins;29 mins;22 mins;23 mins;21 mins;26 mins;26 mins;28 mins;18 mins;26 mins;31 mins;31 mins;19 mins;59 mins;27 mins;42 mins;41 mins;1 hour 8 mins;36 mins;42 mins;55 mins;48 mins;1 hour 0 mins;1 hour 4 mins;1 hour 13 mins;54 mins;1 hour 1 min;1 hour 0 mins;1 hour 2 mins;1 hour 6 mins;58 mins;57 mins;1 hour 0 mins;57 mins;1 hour 2 mins;1 hour 8 mins;54 mins;1 hour 2 mins;27 mins;36 mins;34 mins;39 mins;30 mins;35 mins;27 mins;23 mins;43 mins;33 mins;26 mins;31 mins;23 mins;31 mins;29 mins;37 mins;26 mins;33 mins;45 mins;40 mins;29 mins;28 mins;38 mins;32 mins;36 mins;35 mins;37 mins;33 mins;47 mins;39 mins;21 mins;14 mins;20 mins;22 mins;31 mins;18 mins;19 mins;18 mins;17 mins;25 mins;24 mins;29 mins;24 mins;19 mins;21 mins;15 mins;24 mins;9 mins;11 mins;11 mins;27 mins;24 mins;14 mins;16 mins;38 mins;19 mins;12 mins;24 mins;31 mins;17 mins;22 mins;44 mins;1 hour 1 min;42 mins;41 mins;44 mins;55 mins;50 mins;37 mins;49 mins;45 mins;41 mins;39 mins;40 mins;1 hour 1 min;37 mins;42 mins;57 mins;45 mins;54 mins;36 mins;46 mins;33 mins
Kalicacing;10 mins;10 mins;6 mins;14 mins;12 mins;5 mins;8 mins;1 min;9 mins;6 mins;10 mins;11 mins;13 mins;11 mins;7 mins;7 mins;4 mins;10 mins;8 mins;8 mins;11 mins;12 mins;36 mins;32 mins;32 mins;27 mins;29 mins;33 mins;32 mins;42 mins;31 mins;26 mins;45 mins;46 mins;42 mins;42 mins;43 mins;51 mins;28 mins;34 mins;40 mins;40 mins;51 mins;49 mins;46 mins;44 mins;46 mins;38 mins;49 mins;39 mins;37 mins;30 mins;22 mins;26 mins;18 mins;36 mins;32 mins;27 mins;31 mins;23 mins;40 mins;20 mins;22 mins;30 mins;27 mins;34 mins;34 mins;34 mins;34 mins;32 mins;33 mins;35 mins;34 mins;47 mins;49 mins;1 hour 23 mins;33 mins;35 mins;42 mins;36 mins;39 mins;29 mins;40 mins;37 mins;30 mins;24 mins;34 mins;32 mins;48 mins;32 mins;40 mins;27 mins;22 mins;31 mins;39 mins;36 mins;33 mins;42 mins;27 mins;37 mins;28 mins;20 mins;18 mins;32 mins;20 mins;25 mins;34 mins;17 mins;18 mins;15 mins;32 mins;28 mins;23 mins;46 mins;38 mins;51 mins;50 mins;36 mins;37 mins;41 mins;41 mins;39 mins;48 mins;35 mins;38 mins;43 mins;42 mins;39 mins;41 mins;44 mins;36 mins;38 mins;40 mins;44 mins;19 mins;20 mins;22 mins;16 mins;16 mins;22 mins;15 mins;17 mins;14 mins;19 mins;18 mins;22 mins;11 mins;20 mins;24 mins;24 mins;14 mins;51 mins;27 mins;37 mins;41 mins;1 hour 8 mins;37 mins;42 mins;55 mins;48 mins;1 hour 0 mins;1 hour 4 mins;1 hour 13 mins;54 mins;1 hour 2 mins;1 hour 0 mins;1 hour 2 mins;1 hour 6 mins;58 mins;57 mins;1 hour 0 mins;59 mins;1 hour 2 mins;1 hour 8 mins;54 mins;1 hour 2 mins;25 mins;33 mins;29 mins;33 mins;26 mins;31 mins;24 mins;21 mins;40 mins;29 mins;21 mins;27 mins;20 mins;28 mins;26 mins;33 mins;22 mins;31 mins;43 mins;39 mins;27 mins;26 mins;37 mins;28 mins;32 mins;32 mins;36 mins;32 mins;45 mins;38 mins;16 mins;13 mins;19 mins;21 mins;30 mins;16 mins;18 mins;13 mins;20 mins;24 mins;23 mins;28 mins;22 mins;16 mins;20 mins;17 mins;24 mins;14 mins;13 mins;16 mins;22 mins;18 mins;15 mins;16 mins;31 mins;22 mins;15 mins;21 mins;24 mins;17 mins;18 mins;44 mins;1 hour 1 min;42 mins;41 mins;44 mins;55 mins;50 mins;37 mins;50 mins;45 mins;41 mins;39 mins;40 mins;1 hour 1 min;37 mins;43 mins;57 mins;45 mins;54 mins;37 mins;46 mins;33 mins
Kecandran;13 mins;7 mins;12 mins;14 mins;10 mins;12 mins;4 mins;8 mins;1 min;5 mins;11 mins;13 mins;16 mins;7 mins;11 mins;8 mins;12 mins;17 mins;15 mins;16 mins;17 mins;15 mins;32 mins;28 mins;28 mins;23 mins;25 mins;27 mins;28 mins;38 mins;24 mins;22 mins;48 mins;50 mins;45 mins;45 mins;46 mins;54 mins;31 mins;37 mins;43 mins;36 mins;48 mins;45 mins;42 mins;40 mins;42 mins;34 mins;44 mins;35 mins;33 mins;21 mins;13 mins;17 mins;10 mins;27 mins;23 mins;20 mins;23 mins;14 mins;31 mins;16 mins;18 mins;26 mins;23 mins;30 mins;30 mins;35 mins;30 mins;28 mins;29 mins;31 mins;30 mins;43 mins;45 mins;1 hour 19 mins;29 mins;31 mins;39 mins;32 mins;35 mins;25 mins;36 mins;33 mins;33 mins;27 mins;37 mins;35 mins;51 mins;35 mins;43 mins;30 mins;25 mins;34 mins;42 mins;39 mins;36 mins;45 mins;30 mins;40 mins;24 mins;16 mins;15 mins;28 mins;17 mins;21 mins;30 mins;10 mins;14 mins;11 mins;28 mins;24 mins;19 mins;37 mins;29 mins;42 mins;44 mins;30 mins;28 mins;36 mins;32 mins;33 mins;42 mins;36 mins;39 mins;44 mins;43 mins;41 mins;42 mins;45 mins;37 mins;39 mins;41 mins;45 mins;22 mins;26 mins;25 mins;19 mins;20 mins;25 mins;21 mins;20 mins;17 mins;22 mins;25 mins;25 mins;17 mins;27 mins;30 mins;30 mins;21 mins;55 mins;24 mins;38 mins;37 mins;1 hour 4 mins;33 mins;38 mins;51 mins;44 mins;56 mins;1 hour 0 mins;1 hour 9 mins;50 mins;56 mins;56 mins;58 mins;1 hour 2 mins;54 mins;54 mins;56 mins;53 mins;59 mins;1 hour 4 mins;50 mins;58 mins;27 mins;36 mins;36 mins;38 mins;29 mins;34 mins;27 mins;22 mins;43 mins;32 mins;28 mins;30 mins;23 mins;31 mins;29 mins;36 mins;26 mins;32 mins;44 mins;40 mins;29 mins;27 mins;38 mins;31 mins;35 mins;35 mins;37 mins;33 mins;46 mins;39 mins;21 mins;14 mins;20 mins;22 mins;31 mins;17 mins;19 mins;20 mins;17 mins;25 mins;24 mins;29 mins;23 mins;19 mins;21 mins;12 mins;20 mins;5 mins;7 mins;7 mins;23 mins;21 mins;11 mins;12 mins;35 mins;15 mins;8 mins;20 mins;27 mins;13 mins;19 mins;40 mins;57 mins;38 mins;37 mins;40 mins;51 mins;46 mins;33 mins;46 mins;42 mins;37 mins;35 mins;36 mins;57 mins;33 mins;39 mins;53 mins;41 mins;50 mins;33 mins;42 mins;30 mins
